Year,New York City Population
1979,7102100
1980,7071639
1981,7089241
1982,7109105
1983,7181224
1984,7234514
1985,7274054
1986,7319246
1987,7342476
1988,7353719
1989,7344175
1990,7335650
1991,7374501
1992,7428944
1993,7506166
1994,7570458
1995,7633040
1996,7697812
1997,7773443
1998,7858259
1999,7947660
2000,8008278
2001,8024964
2002,8041649
2003,8058335
2004,8075020
2005,8091706
2006,8108391
2007,8125077
2008,8141762
2009,8158448
2010,8175133
2011,8337995
2012,8463949
2013,8565546
2014,8655309
2015,8736703
2016,8794605
2017,8815448
2018,8826472
2019,8824887
2020,8804190
2021,8467513
